ptNoList|^resultCode|^resultMsg|^rowno|^ptNo|^ptNm|^addr|^orgNm|^wmyr|^wmod|^wmwk|^wmdep|^lonDgr|^lonMin|^lonSec|^latDgr|^latMin|^latSec|^wmcymd|^itemLvl|^itemAmnt|^itemTemp|^itemPh|^itemDoc|^itemBod|^itemCod|^itemSs|^itemTcoli|^itemTn|^itemTp|^itemCd|^itemCn|^itemPb|^itemCr6|^itemAs|^itemHg|^itemCu|^itemAbs|^itemPcb|^itemOp|^itemMn|^itemTrans|^itemCloa|^itemCl|^itemZn|^itemCr|^itemFe|^itemPhenol|^itemNhex|^itemEc|^itemTce|^itemPce|^itemNo3n|^itemNh3n|^itemEcoli|^itemPop|^itemDtn|^itemDtp|^itemFl|^itemCol|^itemCcl4|^itemDceth|^itemDcm|^itemBenzene|^itemChcl3|^itemToc|^itemDehp|^itemAntimon|^itemDiox|^itemHcho|^itemHcb|^itemNi|^itemBa|^itemSe|^numOfRows|^pageNo|^totalCount
3008A40|^00|^NORMAL SERVICE|^1|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^1990|^01|^1회차|^ |^127|^28|^44|^36|^22|^6|^19900116|^ |^ |^3.0|^7.2|^11.1|^2.0|^2.2|^10.7|^11|^0.560|^0.035|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^2|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^1990|^02|^1회차|^ |^127|^28|^44|^36|^22|^6|^19900220|^ |^ |^6.0|^7.5|^12.0|^1.8|^1.6|^7.6|^14|^0.833|^0.014|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^3|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^1990|^03|^1회차|^ |^127|^28|^44|^36|^22|^6|^19900306|^ |^ |^6.0|^7.4|^11.8|^1.8|^2.0|^4.2|^110|^0.362|^0.014|^0.000|^0.00|^0.00|^0.00|^0.000|^0.0000|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^4|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^1990|^04|^1회차|^ |^127|^28|^44|^36|^22|^6|^19900410|^ |^ |^13.0|^7.2|^11.0|^1.6|^1.8|^1.4|^70|^0.351|^0.015|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^5|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^1990|^05|^1회차|^ |^127|^28|^44|^36|^22|^6|^19900508|^ |^ |^11.0|^7.1|^11.0|^1.6|^1.5|^1.6|^63|^0.332|^0.017|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^6|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^1990|^06|^1회차|^ |^127|^28|^44|^36|^22|^6|^19900614|^ |^ |^21.0|^7.0|^8.7|^1.6|^1.4|^1.7|^49|^0.350|^0.018|^0.000|^0.00|^0.00|^0.00|^0.000|^0.0000|^ |^0.0|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^7|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^1990|^07|^1회차|^ |^127|^28|^44|^36|^22|^6|^19900709|^ |^ |^25.0|^7.2|^7.8|^1.6|^1.6|^1.8|^46|^0.383|^0.028|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^8|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^1990|^08|^1회차|^ |^127|^28|^44|^36|^22|^6|^19900813|^ |^ |^24.0|^7.0|^7.7|^2.0|^2.2|^2.0|^70|^0.349|^0.024|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^9|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^1990|^09|^1회차|^ |^127|^28|^44|^36|^22|^6|^19900911|^ |^ |^18.0|^7.4|^7.8|^1.8|^2.8|^2.6|^79|^0.357|^0.020|^0.000|^0.00|^0.00|^0.00|^0.000|^0.0000|^ |^0.1|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^10|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^1990|^10|^1회차|^ |^127|^28|^44|^36|^22|^6|^19901013|^ |^ |^17.0|^7.3|^8.0|^1.8|^1.7|^2.0|^49|^0.350|^0.023|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
